,category_name,parent_cat_name,Entity,complaint words,output sequence,complaint_description,predicted_label
94,Repair of streetlights,Maintenance of Roads and Footpaths,street light,non functional,"2,,12,13","Most streetlights near Koramangala police station, in the main road are non functional","Trees, Parks and Playgrounds - Others"
95,Garbage,Garbage and Unsanitary Practices,garbage,"dumping,garbage collecting vechicles not coming,bad smell","8,9,10,11,12,13,14,15",Here the dumping of waste is more the garbage collection vehicles are not coming regularly here due which all the waste give out bad smell by which the near by residential people are unable to breathe so i request u to  clear it out as fast as possible almost half of the people residing here are suffering from asthama so i request u to take severe action,Garbage
96,Traffic,Traffic and Road Safety,number plate,defective number plate,"1,2,3,4 ",Defective number plate,Traffic
97,BMTC - Others,Public Transport - BMTC,bus,need more buses,"3,4,5,6 ",Complaint About Need more Bmtc buses for bus route number 315P,BMTC - Others
98,Garbage,Garbage and Unsanitary Practices,garbage,"dumping,garbage collecting vechicles not coming,bad smell","9,10,11,12,13,14,15 ","Here the dumping of waste is more, the garbage collection vehicles are not coming regularly here due which all the waste give out bad smell by which the near by residential people are unable to breathe so i request u to  clear it out as fast as possible almost half of the people residing here are suffering from asthama so i request u to take severe action",Garbage
99,Garbage,Garbage and Unsanitary Practices,dustbin,need dustbin,"39,40,41",Hi iam Pooja staying in vidyaranyapura dodda bomsandra  in our area there is new rules regarding the garbage segreation but we are unable to separte this like wet or dry... so we need to collect both.... then we need a dusbin in our road...,Garbage
100,Garbage,Garbage and Unsanitary Practices,clan,place clan,"1,2,3,4 ",Place  clan the road  cheluvadipalya  garbage,Garbage
101,Garbage,Garbage and Unsanitary Practices,garbage,"throw garabge,not use van facility","5,6,7,8,9,10,11",Few residents just do not use the garbage pick up facility..instead throw the garbage in open field....,Garbage
102,BMTC - Others,Public Transport - BMTC,bus,increase in bus service,"4,5,6,7 ",I would like an increase in bus service for route number 111,BMTC - Need new Bus Route
103,BMTC - Others,Public Transport - BMTC,bus,increase in bus service,"4,5,6,7 ",I would like an increase in bus service for route number 7F,BMTC - Need new Bus Route
104,BMTC - Others,Public Transport - BMTC,bus,need more bmtc buses,"3,4,5,6 ",Complaint About Need more Bmtc buses for bus route number 314F,BMTC - Others
105,Traffic,Traffic and Road Safety,traffic,More Taffic & Lack of bus facility,"1,2 ",More Taffic & Lack of bus facility,Traffic
106,Footpaths,Maintenance of Roads and Footpaths,garbage,garbage,"1,2,3 ",Lots of garbage on the road.,Garbage
107,BMTC - Others,Public Transport - BMTC,bus,need more buses,"3,4,5,6 ",Complaint About Need more Bmtc buses for bus route number 330H,BMTC - Others
108,Garbage,Garbage and Unsanitary Practices,Pothole,potholes,"1,2,3,4 ",Pathholes in the road connecting krpuram station and ramamurthynagar.,Potholes
109,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"5,6,7,8 ",There is a rapid increase in stray dogs in last 6-7 months around this area. Also I have not seen these dogs sterilized for more than a year now. Which I guess used to happen prior to that. We have around 30-35 dogs (if not more) around our building.,Stray Dogs
110,Water Supply,Water Supply and Services,water,not geeting water supply regularly,"18,19,20,21,22","I Stay at Borewell Road, Nallurahalli, Buildwell Homes Apartment.  Though we have cauvery water connection we are not getting water supply regularly.  The only source of water Ground water level which  has been depleted and our apartment is totally dependent on tankers and cauvery water.   I request the concerned authority to streamline the cauvery water supply.",Water Supply 
111,Traffic,Traffic and Road Safety,roads,"road widening,reach on time","85,86","I stay at Borewell Road, Nallurahalli, Whitefield.  two years back i was told that the road starting from Whitefield Post office to Siddapura circle, near ambedkar statue will be widened as per government order, but till now i haven\'t seen any signs of road widening.\n\nNow, i can see some people had constructed shops/commercial establishments on that strech and adding more traffic woes to commuters travelling daily to ITPL/EPIP and Satya Sai Hospital\n\nI request the concerned authorities of BBMP to take up the road widening activity at earliest  so that i will ease the commuters to reach office or Hospital on time.",Traffic
112,Garbage,Garbage and Unsanitary Practices,garbage,garbage cleaning,"24,25,26,27","Hope some BBMP officials would take this serious keeping in mind the increase of viral diseases spreading across city. There has been a regular garbage cleaning issue in Girinagar. The road is 80ft wide, however for public it can be used only 15ft. Thus making threat to not only spreading disease but at the same time causing accident.",Garbage
113,Garbage truck not used,Garbage and Unsanitary Practices,garbage,garbage truck  not used,"28,29,30,31,32,33,34","Truck comes everyday in the morning and cleans the garbage. But most of the people living around wl not dump their garbage when the truck comes, but throw the garbage after the truck leaves the spot. The spot is near the residence of grandson of erstwhile President of India Sri B.D. Jatti, CAD & MET Layout, 6th Cross, 80 Ft Road, Sanjaynagar, II Block, RMV II Stage Post, Bangalire 560094",Garbage
114,Diseases,Garbage and Unsanitary Practices,garbage,garbage dumped,"1,2,3,4,5,6,7","Lot of garbage and waste is dumped opposite the vacant lands opposite our flats on St. Norbert Church Road, Kasavanahalli. Pigs, stray dogs, rats/rodents and mosquitoes are rampant causing serious health issues. dengue now followed by flu are mainly caused due to this. More issues like Brain fever, Japan fever etc are likely because of this unhygenic condition. In spite of complaints to BBMP nothing positive has been done. Drainage is also not de-silted. Photos attached. The road to this street is also full of pot holes and not maintained or done for the last 7 years. The situation here is pathetic.",Garbage
115,Traffic,Traffic and Road Safety,traffic,no traffic controller,"9,10,11,12,13 ","Traffic at AXA signal in the morning: I don\'t see the traffic controller at AXA signal before 8:00 AM for the last 2 weeks. The traffic lights continue to follow a pattern set for the previous night with short signals for each road, making the traffic approaching from lake road clogged for a long time. Worse still, I see an old man controlling the traffic signalling every day when there is no police. Kindly take an action immediately!",Traffic
116,Potholes,Maintenance of Roads and Footpaths,Pothole,big crater,"11,12",6 footpath slabs have caved in due to faulty workmanship. Big crater on road in front of exit gate of 3 Kingston Road--VERY VERY DANGEROUS !!!,Footpaths
117,Garbage,Garbage and Unsanitary Practices,garbage,garbage autorikshaw not for week,"1,2,3 ,4,5,6","The garbage autorickshaw has not been to 4th main, KR Garden for more than a week now! This is happening very often, I\'m not sure why they are not willing to come to this street. We can hear the auto honking on the parallel street, but they do not come to this street - 4th main. Please have this rectified at the earliest. It is resulting in people dumping garbage in vacant plots and on the roadside. Please regulate the garbage pick up on a daily basis.",Garbage
118,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"17,18 ,19",The road from Aishwarya Bakery all the way to EPIP(Environment Protection) and towards Kalyani Magnum is full of Potholes big and small its is an accident prone road for bikers and a mountain ride for Cars. Please do rectify it.,Potholes
119,Bad Roads,Maintenance of Roads and Footpaths,roads,road bad to commute,"16,17,18,19,20,21","Road adjacent to yashomati hosiptal has been dug by bwssb and left as it is.Road is very bad to commute ,rains make it worse. Please fix the road .",Bad Roads
120,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"15,16,17 ","The road in front of Diamond District (just under Domlur Flyover) is filled with potholes, making it impossible to drive and causing lot of traffic congestion.",Potholes
121,Others,Others,bribery,bribery,"1,2,3 ","I spotted bribery: Yesterday when my wife and I were having pani puri near Jayanagar 4th block, we saw 2 policemen on bike waiting on the otherside of the road and the pani puri wala running to them and giving them some money. Bike number of the police was: KA 06 EA 5307. Kindly do the needful in stopping bribery! I deserve a better city! Thanks!",Others
122,Garbage,Garbage and Unsanitary Practices,garbage,garbage auto irregular,"11,12,13,14,15,16","There is no place to throw garbage/waste near this location.\nGarbage auto is very irregular and at time he never turns up. \nIs there a solution for this.\nAppreciate your reply and solution.\nRegards,\nMithun",Garbage
123,Stray Dogs,"Stray Animals, Insects",hoarding,illegal hoarding,"2,3 ",These illegal hoarding on ramamurthy nagar causes inconvenience to commuters. Many are just placed on the foot path itself. This causes people to walk on road creating traffic jams and issues. Children are unable walk safely on these footpaths.,Traffic
124,BMTC - Others,Public Transport - BMTC,traffic,traffic jams,"13,14,15",Far too many buses run on Ramamurthy nagar main road. They cause major traffic jams.  during peak hours.,Traffic
125,Garbage,Garbage and Unsanitary Practices,garbage,dumping garbage,"1,2,3 ","Dumping of garbage, using it as public toilet",Garbage
126,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"1,1",Garbage,Garbage
127,Bad Roads,Maintenance of Roads and Footpaths,roads,ups and downs on roads,"2,3,4,5,6",Many ups and downs on roads in most of the places. Digged and kept uncovered almost all roads. Very muddy and it results in pollution and road accidents. proper and complete work should be done to avoid accidents,Air Pollution
128,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"9,10 ","I have one idea in my mind regarding garbage disposal in Bangalore. I see large heaps of garbage disposed open around the roads and corners in the city that give it a horrible sight. \nWe can start one campaign wherein each company can contribute to donate one large bin for waste disposal. The waste can be collected by the BBMP on daily basis as they usually do. \nWe always expect BBMP to take action for everything which I feel is helpless due to shortage of funds or other reasons. This initiative will at least raise a sense of responsibility among the corporates in city, who can make big change by contributing a bit to maintain the beauty of the city. I am writing this in hope that this will be taken up as a city wide campaign to make a change.\nThanks and regards,\nAnita Kalia",Garbage
129,Garbage,Garbage and Unsanitary Practices,garbage,garbage mini truck once in week,"3,4,5,6,7 ",There is irregularity in taking the garbage. only one  mini truck for 5 to 6 areas and comes to our area once in a week. very disturbing dont know where to throw the garbage.,Garbage
130,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"5,6 ","Instead of taking the garbage out, the bbmp contractor is making their people to burn the plastics and other poisonous items. this is one of the reason for current level of pollution and high day temperatures in Bangalore",Garbage
131,Repair of streetlights,Maintenance of Roads and Footpaths,street light,"street light not working,area dark","2,3,11,12",The street lights 2Nos. in front of my house are not working again.\nPlease attend as the area is dark,"Trees, Parks and Playgrounds - Others"
132,Others,Others,traffic,no sign board,"4,5,6,7 ","As there is no sign board in the location I mentioned above. Lots of accidents take place here.Many two wheelers and four-wheelers meet with an accident.And no proper care is taken about this.As this is a highway many unknown vehicles travel through this road as there is no sign board unknown vehicles speed up and as soon as they see the speed bump they apply sudden break, the vehicles behind will dash with the vehicle in the front. I\'ve noticed a lot of accidents here.So I request you to fix this issue ASAP.",Traffic
133,No Sewage Drains,Sewage and Storm Water Drains,garbage,sopen drain clogged with garbage,"1,2,3,4,5,6,7,8",Storm water drain is open and clogged with garbage. water is stagnating and mosquitoes are breeding. pls do the needful.,Garbage
134,Water Supply,Water Supply and Services,water,dirty water,"106,107","From past 2 weeks, our neighbourhood(Talacauvery nagar and Veerabhadra nagar) is receiving Cauvery water with green colour organic content in it. It has an extremely bad odour. I believe, sewage is getting mixed somewhere nearby probably due to damaged pipe. BWSSB has to take action immediately, as this is a major health concern and every time this happens, we end up spending thousands of rupees to clean our tanks and sump. We also need to pay the heavy price to the water tankers for our water despite we having BWSSB metre at homes. We also end up paying the water bill to BWSSB for the dirty water they are providing.",Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover
135,No Sewage Drains,Sewage and Storm Water Drains,roads,damaging the roads,37.38.39,Every day between 5 to 6 pm massive amount of sewage is let on to road by SJR Symphony and other apartments on Kasavanahalli road flooding the road next Laca$a leading to Lakeshore homes. it is damaging the roads every day,Sewage and Storm Water Drains - Others
136,Potholes,Maintenance of Roads and Footpaths,roads,roads to be tarred,"6,7,8,9,10",We have been waiting for roads to be tarred. Our neighbouring roads have  been tarred and our roads have not been done. We have been requesting corporator to come and resolve this issue from many days. Nothing is been done. Atleast if they flatten Road that\'s enough. That Road is the bumpier Road I have seen.,Illegal posters and Hoardings
137,Bad Roads,Maintenance of Roads and Footpaths,roads,road in bad shape,"2,21,22",The road from Padmanabhanagar bus stop which connects to D G Hospital near Devegowda Petrol bunk via RCIM is very bad shape. It is has not seen tar for many years. Kindly act quickly.,Bad Roads
138,Repair of streetlights,Maintenance of Roads and Footpaths,street light,"not functioning,install more street light","1,2,15,16,","Street lights on sai layout main road, whitefield (Behind sathya sai General hospital) are not functioning. Also, there is need to install more street lights on this street, as it has become impossible for the sai layout ladies to use that street after 7 PM. Lot of men stop there to urinate as it is dark area. This road has become unsafe, specially for women in the evening time. please do the needful.",Need New Toilets 
139,Bad Roads,Maintenance of Roads and Footpaths,roads,road dug,"2,9 ","The road 7th cross in ward 58 is dug by one of the civic agencies at both sides of New Thippasandra Main Road. (In Front of Bharani Sweet, Near Compete Showroom) This road is widely used by people coming from old airport road, JB Nagar and living in Thippasandra and by school children. Due to bad condition of the road, everybody in this area is suffering and it has increased the traffic on the other parallel road going from Market. This may result into some accident one day, as the market road is highly populated.",Traffic
140,Robbery,Crime and Safety,robbery,robbery,"2,2 ",The robbery has become a weekly news in our locality. The police station is 15+ kilometers from our locality. And the jurisdiction of  the police in our area is 200 kms.,Air Pollution
141,Garbage,Garbage and Unsanitary Practices,garbage,no proper way to dispose garbage,"3,4,5,6,7,8,9",There is no proper way to dispose the garbage in our locality. The garbage collector comes only 15 days once or monthly once. The garbage are thrown on road corners or in vacant sites which is causing the place for many diseases.,Garbage
142,Bad Roads,Maintenance of Roads and Footpaths,roads,troad bot tareed or asphalted,"3,8,9,10",The cross roads in our area has not been tarred or asphalted even once from the time of formation of our layout and it is very difficult to even walk on these roads and it is a nightmare for the 2 wheelers to ride on this road.,Illegal posters and Hoardings
143,Broken Storm Water Drains,Sewage and Storm Water Drains,drain,no proper drainage system,"3,4,5,6 ",There is no proper drainage system in our area of vidyamanyanagar. When it rains the water overflows from the rain water drains and it is filled with mud and plants are growing on the storm water drains and it needs to be replastered and rebuilt in some places also.,No Sewage Drains
144,Stray Dogs,"Stray Animals, Insects",dog,dog menance,"20,20",I am a resident of the said street. There is a house in our street with over 6 pet dogs.They also rear dogs for commercial sales.They never chain their dogs and leave them free on the road.This is causing inconvenience to all the residents and are scared to move in the road.Many a times these dogs become violent and attack passersby and bike riders. The owners of these dogs are least bothered and are ever ready to pick up petty fight with whoever raised voice against this menace.In fact they are most uncultured who use filthy language and people are taken aback to complain against them.,Stray Dogs
145,Stray Dogs,"Stray Animals, Insects",dog,street dogs,"2,3,13,14,15","The street dogs are creating lot of problems in vidyamanyanagar, andrahalli. They chase the riders of 2 Wheelers and frighten them. people are unable to walk on streets peacefully due to the dogs.",Stray Dogs
146,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"1,2,3 ",Garbage on street from too many days!,Garbage
147,Potholes,Maintenance of Roads and Footpaths,roads,bad road,"11,12",This is my third compliant about the same issue (bad road) which has not been addressed for more than a year now.,Bad Roads
148,Potholes,Maintenance of Roads and Footpaths,Pothole,dangeropus pothole,"8,9,10 ",In Balagere road there is a very dangerous pot hole nearly 2-3 feet deep. There is a high chance of some biker driving into it and getting injured seriously. Please fix it asap.,Potholes
149,Garbage,Garbage and Unsanitary Practices,garbage,no place to throw garbage,"11,12","Hello, In my current location didn\'t find any place to throw garbage, please help.. because of that only whole place become dirty.",Garbage
150,Riding On Footpath,Traffic and Road Safety,footpath,riding on footpath,"1,2,3,4 ",Riding on foot path in mission road,Bad Roads
151,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"14,14","While i was travelling to kormangla forum from agara, i came across this pothole near kormangla water tank signal.. and the water was flowing from that pothole, i heard some people telling that the water is flowing from a week.. we all know that there is huge scarcity of water.. please requesting BBMP to do something on this issue..",Potholes
152,Need New Streetlights,Maintenance of Roads and Footpaths,street light,streetlight went off,"1,2,3,4 ",Steeet light went of from past 15 days and need to be rectified on priority and safety of the walkers.,Need New Toilets 
153,Parking Violations,Traffic and Road Safety,footpath,car parked on footpath,"12 ,13 ,14, 15 ,16 ,17","In Sahakaranagara (Ganesha Temple road, next to playground) most of the cars are parked on the footpaths. Due to this it\'s becoming for everyone to walk on the footpaths, and it\'s dangerous to walk on the roads. Requesting traffic Police to monitor these types of violations and clear the footpaths to walk.",Traffic
154,Bad Roads,Maintenance of Roads and Footpaths,Pothole,deep potholes,"3,4,5",There are dangerous deep potholes all along the road and BBMP has not bothered to tar the road properly for years. The pathetic condition of the road affects thousands of commuters and causes severe traffic jams,Potholes
155,Bad Roads,Maintenance of Roads and Footpaths,roads,worst road,"14,15 ",Roads From Hoodi Junction Towards Kodigehalli Main Roads via Railway Gate is the worst road that I have come across in Bangalore. No there has been a Flyover being successfully made for people going towards KR Puram but what is being done to fix the roads that go below the Flyover and towards Kodigehalli Main Road. This needs to be fixed as there seems to be no one concerned about people commuting via this road.,Illegal posters and Hoardings
156,Traffic,Traffic and Road Safety,traffic,traffic rules,"4,10","Would like the Traffic commissioner to immediately impose this rule on all major traffic junctions and every signal FOR EG;- CMH Road KFC Junction.... How can you have bus stops on both sides of the traffic siignal just 20 metres away from the signal. No traffic junction for atleast 50 meters from junction should have either parking, stands., stops., footpath occupied by vendors nothing should be allowed.",Traffic
157,Potholes,Maintenance of Roads and Footpaths,roads,bad road,"12,13,14,15,16,17,18,19",The roads connecting the Suranjandas Road and Bagmane Tech Park has become very bad and has lot of potholes. Vehicles enter footpath to avoid the potholes causing danger to pedestrians.,Potholes
158,Parking Violations,Traffic and Road Safety,parking,no parking zone,"23,24,25","Many vehicles, including trucks, Autos to two-wheelers are always parked infront of More Megastore on Nagvarpalya Main Road. Even though this is NO PARKING zone, vehicles are kept parked throughout the day.",Parking Violations
159,Footpaths,Maintenance of Roads and Footpaths,footpath,footpath enroached,"1,12",Footpaths in the entire stretch of Nagvarpalya Main Road has been encroached. Pedestrians are forced to walk on the road and face the traffic.,Traffic
160,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"36,37","There is a shortcut which lot of people use which goes from AECS Layout to Chinnapanahalli. There is a small turn where only 1 vehicle can go by(4-wheeler). At the same turning, there is a huge pothole which further blocks all the traffic. Kindly look into this.",Traffic
161,Bad Roads,Maintenance of Roads and Footpaths,Pothole,multiple potholes and uneven small bumps.,"15,16,17,18,19,20,21,22","The ITPL Main Road at the junction of hanuman temple, Kundalahalli colony is very rough with multiple potholes and uneven small bumps. This impacts smooth flow of traffic. Please make the road even , so that traffic flow is smooth.",Potholes
162,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"7,7",Just wanted to report about the potholes on the side of the road which is extremely dangerous especially for the 2 wheeler riders. I have seen many instances bikers loose control of the vehicles and fals down,Potholes
163,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"1,4","Roads are very Bad on BEML Gate to HAL Market, very very Bad roads, see lot of accidents happening in there",Bad Roads
164,Bad Roads,Maintenance of Roads and Footpaths,roads,holes in road,"40,41,42,43","Main road in BEML layout rajarajeshwari nagar facing a series of digging from BWSSB and they have left the holes wide open for more than three days, and the worst part is they haven\'t put any barricades stating the hole in the road, BWSSB look into the matter and resolve the same",Potholes
165,Bad Roads,Maintenance of Roads and Footpaths,roads,road not usable,"12,13,14,15 ",Bhuvaneswari nagar dasarahalli road  6 th cross road is totally gone. .not at all usable.\n.no bbmp work happened during last 5 years...bbmp and govt please take immediate action.,Bad Roads
166,Repair of streetlights,Maintenance of Roads and Footpaths,street light,not working,"2,3,19,20,21","The street light between No 164 and No 165, 1st Cross, 4th Main, Viveknagar, Bangalore - 560047 has not been working for over a fortnight.","Trees, Parks and Playgrounds - Others"
167,Garbage,Garbage and Unsanitary Practices,garbage,garbage not colelcted,"16,17,18,19",Dry n wet wast is getting collected on two separate days but from past 3days garbage is not collected from this area,Garbage
168,Traffic,Traffic and Road Safety,traffic,heavy traffic,"1,2 ",Heavy traffic from dairy circle to st john at 9pm,Traffic
169,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"1,1",Garbage,Garbage
170,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"1,1",Garbbage is not moved from my place from past 3 days...Shantilayout 2nd cross ramamurthynagar 560016,Air Pollution
171,Public Nuisance,Crime and Safety,house,nuisance by house construction,"2,3,26",A house construction (Next to house number 553) has been going on for more than an year and the owners are not sympathetic to the nuisance caused by them to their neighbors. One of their neighbors is bed ridden due to the dust from the construction site and their gate has been completely demolished by them. They don't pay heed to their cries. To top it all the construction debris has been dumped on the road blocking traffic movement. The owners are least bothered about the complaint raised by their neighbors and continue to cause nuisance to them. Kindly look into this issue and help the neighbors stay peacefully.,Traffic
172,No Parking,Traffic and Road Safety,roads,park bikes on road,"13,14,15,16,17","Students of Vemana Institute of Technology & RJS Institute of Management Studies Park their Bikes on Roads (5th Cross & 6th Cross Road, 3rd Block Koramangala) thereby blocking the roads for 2 way traffic movement. The management should make provision to allow their students to park inside their premises and not on the roads. Request you to restrict parking on this road and allow smooth movement of traffic.",Traffic
173,Repair of streetlights,Maintenance of Roads and Footpaths,street light,streelights not working,"1,2,3,4,5",Not all streetlights are working in 5th cross road & 4th A cross road in Koramangala 3rd Block (Behind Karnataka Bank). Women find it difficult to walk on these streets in the night. Please have them fixed at the earliest.,Need New Streetlights
174,Need New Streetlights,Maintenance of Roads and Footpaths,lightd,lights gone off,"1,2,3,4 ",Lights have gone off for a while now and is too dark for women to walk alone.,Air Pollution
175,Footpaths,Maintenance of Roads and Footpaths,footpath,provide footover bridge,"2,3,4,5 ",There is no foot over bridge on ORR Marathalli junction which is causing traffic jams as pedestrians try to cross the road haphazardly. The issue is more serious at Kalamandir bus stop.\n\nRequest you to please provide a foot over bridge for pedestrians as soon as possible.\n\nThanks\nPrasad,Traffic
176,Garbage,Garbage and Unsanitary Practices,garbage,garbage dump,"1,2,3 ",Huge garbage dump on SP road. the under construction building is used as toilet. Impossible to stand.,Garbage
177,Potholes,Maintenance of Roads and Footpaths,roads,strecth in bad condition,"23,24,25,26,27,28,29,30",The stretch of road between VIBGYOR High school thubarahalli and Varthur main road is in a bad state. The road surface is extremely uneven with a large number of potholes. There are no proper footpath nor Street lights. This stretch is a nightmare for 2 wheelers during monsoon. There are atleast 5 apartment complexes with more than 700 houses on this stretch. Please fix this road.,Potholes
178,Traffic,Traffic and Road Safety,traffic,traffic jams,"15,16 ,17",The Illegal Right turn from Harlur Road on to Sarjapura Main Road is causing severe traffic jams on the Sarjapura Main road and this gets tailed to as far as Sarjapura Firestation or beyond at times. Appreciate if this right turn which is not permitted is strictly enforced for smooth flow of traffic. Thank you !,Traffic
179,Traffic,Traffic and Road Safety,traffic,one way regulation traffic,"16,17,18,19,20","It was a welcome move to make the service road infront of Salarpuria Softzone a one way - permitting traffic only towards Bellandur Gate. However, there has been constant violations on this - vehicles entering service lane right from Bellandur Gate junction and Green Glen layout. Appreciate if this One Way regulation is strictly enforced. Thank you !",Traffic
180,Bad Roads,Maintenance of Roads and Footpaths,roads,road bumpy and muddy,"36,37,38,39,40,41,42","3 years back2nd Main Road of MES Ring Road Bahubalinagar was dug up for laying water pipes .  After the completion of the work the road is filled up with mud and is not tarred.  The road is so bumpy  and muddy, no need to explain about the hardship the dwellers are facing since three years.  This road leads to HMT.  Only three fourth of this road is made good by laying cement concrete, but remaining portion that is from 4th cross to MES road is left unattended.  Kindly tar this road at the earliest as monsoon is approaching to make the situation worse.",Sewage and Storm Water Drains - Others
181,Garbage,Garbage and Unsanitary Practices,garbage,garbage set obn fire,"6,7,8,17,18,19,20,21,22,23,24",The civic body workers are collecting  the garbage from the area into a big pile and setting it on fire instead of disposing it.  This is causing huge problems for the houses in the locality and for the people who pass through the area and also causing pollution.  I request the concerned persons to resolve this issue as soon as possible.,Garbage
182,Bad Roads,Maintenance of Roads and Footpaths,roads,mud road,"11,12","The road has lot of damages,Now it is looking like mud road lot of dust are producing",Air Pollution
183,Broken Storm Water Drains,Sewage and Storm Water Drains,drain,no proper drainage system,"3,4,5,6,7,8,9",They are not maintaining proper drainage and road level,No Sewage Drains
184,Broken Storm Water Drains,Sewage and Storm Water Drains,drain,no drainage lane,"14,15,16,17,18",No 5 6th cross gokula1st stage 3rd phase yeshwanthpura  and footpath and and drainage lane not maintain properly take care on this problem,Footpaths
185,Flooding of Roads and Footpaths,Maintenance of Roads and Footpaths,roads,not aintained road,"4,5,6,7,8",Local government have not maintained roads properly.when ever it rains citizens r suffering alot because of this road.because of potholes.,Potholes
186,Garbage,Garbage and Unsanitary Practices,garbage,garbage dumping,"8,9,10 ",Front of airforce school there is a garbage dumping point. Becoz of this garbage dumping point 2 schools are facing lot of problems and also citizens. Its spreads a durty smells so public wont use the foot path and roads. Here cant even stand 5 min but total 1500 kids are studing in both schools.,Garbage
187,Hawkers and Vendors,Maintenance of Roads and Footpaths,footpath,footpath enroached,"11,13","Front of air force scholl main raod the both side footpaths are encroched by tea stall, mobile canteens and others. The public are walking on roads. Thats why lots of trafic and accident acured here. ",Footpaths
188,Garbage,Garbage and Unsanitary Practices,garbage,garbage point,"4,5",Their is a garbage point in front of sophia school.many times school athority have complaint to bbmp about garbage issue.but still bbmp have not taken anu action.,Garbage
189,Stray Dogs,"Stray Animals, Insects",dog,dogs are scaring publics,"7,8,9,10",Near annayappa layout 1st cross 3 dogs are scaring publics while walk on road. Here so many kids are staying they were afraid to send thwm out. Please let me clear this issue by concern,Stray Dogs
190,Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Sewage and Storm Water Drains,sewage,sewage pipies narrow,"16,17 ","We the residents of Neelasandra (2nd Cross, Bazaar Street, behind MVGAN Kalyana Mantapa) are facing sewage problem since 10 to 15 years, as the sewage pipes are very narrow and clogs very frequently and itﻗ°ﻷs even worse during Rainy Season. Many times the kids are affected with severe viral fever and hospitalised. We have reported many times to the concerned authorities, but wasnﻗ°ﻷt helpful. And it is noticed that they have replaced sewage pipes in the surrounding areas long back but failed to do it in this area. \n\nThe only solution is replacing with wider sewage lines. We wish you could help us to come out of this issue.",Sewage and Storm Water Drains - Others
191,Flooding of Roads and Footpaths,Maintenance of Roads and Footpaths,roads,roads badly designed,"2,9,10",The roads near Elite school in Neelasandra are badly designed and poorly made. In addition traffic violations are not enforced. Motorcycles and cars park all over the place which makes it difficult for people to get around.,Traffic
192,Footpaths,Maintenance of Roads and Footpaths,footpath,footpath unusable,"3,4 ",Tin factory footpath unusable because of bushes hanging Bennigana Halli Lake Garden,Footpaths
193,Flooding of Roads and Footpaths,Maintenance of Roads and Footpaths,roads,no road maintainance,"98,99,100,101,102,103","Dear Commissioner BBMP, Bannerghatta road is one of the important roads in Bangalore. The particular stretch between Meenakshi temple and Jayadeva flyover junction gets flooded whenever there is rain. There is no proper rain water drains at the side of the road and wherever there is one it is filled with silt and debris. The channels that were made at some places slope towards the road and not in to the drains. It appears that after the road is initially made in to a double road with a median, no maintenance is done for it. If an existing road only is not maintained how can we believe that new proposal to widen the road will be done in right earnest? We pay property taxes every year and this Akrama Sakrama scheme collects more taxes. Tax collections, penalties and promises are plenty, but what is happening to our taxes? Can you explain?",No Sewage Drains
194,Water Supply,Water Supply and Services,water,water supply problems,"9,10,11,12 ",We and atleast 3 surrounding houses are facing severe water supply problems for several months now. Someone\'s water supply line on our road seems to have broken and we are all suffering due to that. Repeated complaints to valve man of our area is leading no results. Request some immediate action to be taken for this.,Water Supply 
195,Others,Others,drain,drainage problems,"15,16  ","I am the resident of 2A Cross Road, Muneshwara Layout, Kodichikkanahalli, we are facing Drainage problems from Janhavi shelters construction company they constructing 15 floor 400 to 500 luxury flats apartments. they built a temporarily labour shed for more than 1500 people & they are not made any temporary drainage nor any safety for that, behind our houses all drainage water coming in open places overflow to road and also drainage water is stored here and forming mosquitoes also. this area mosquitoes problem is really big issue. So please advice them to make proper temporary and also clean Drainage\'s spray some medicine for mosquitoes.",Mosquitos
196,Garbage,Garbage and Unsanitary Practices,garbage,home for bad smell,"22,23,24,25",Atleast 20 mtrs of banana plants from roadside shop (from time of auyda puja festival). they left it uncleared. now its home for bad smell and mosquitoes in this humid and rainy condition can create serious problem general public health.,Mosquitos
197,Bad Roads,Maintenance of Roads and Footpaths,footpath,widening footpaths,"9,10,11,12,13 ",Road in front of AECS Maruti college of nursing needs widening and footpaths. Currently its very narrow.,Footpaths
198,Bad Roads,Maintenance of Roads and Footpaths,roads,bad road,"2,50,51","The road leading to amoda valmark from bannerghatta road is totally gone bad and its very narrow at some places. As there are lot of apartments around lot of people are facing issues due to bad road. Road needs to be laid out with proper width, with footpaths and needs asphalting.",Footpaths
